Id,Category,Title,Description
19,2,Becks row rumbles on,David Beckham is still in danger of facing disciplinary action for admitting he got booked on purpose - despite Sven-Goran Eriksson #39;s attempts to draw a line under the controversy.
20,3,"ST Telemedia, TM International to acquire 48 per cent stake in &lt;b&gt;...&lt;/b&gt;","Singapore Technologies Telemedia (ST Telemedia) and TM International, the international investment arm of Telekom Malaysia (together as a Consortium), have entered into definitive agreements to acquire a 47.7 per cent stake in IDEA Cellular (IDEA "
21,3,Netflix Raises Subscriber Forecast After Price Cut,"Online DVD rental company Netflix Inc. (NFLX.O: Quote, Profile, Research) on Wednesday raised its subscriber and revenue forecasts for the fourth quarter, saying a price cut had helped draw new customers."
22,4,U.S. Bioterror Plan Frustrates Industry (AP),"AP - When President Bush signed Project BioShield into law in July, he said he was immediately making  #36;5.6 billion available to counter such anticipated threats as smallpox genetically engineered to render current vaccines useless."
23,3,ECB Rates Unchanged," FRANKFURT (Reuters) - European Central Bank President  Jean-Claude Trichet kept up his anti-inflation rhetoric on  Thursday, warning of short-term risks to the inflation outlook  even as growth prospects are deteriorating."
24,2,Beckham Main Worry for Eriksson,Sven-Goran Eriksson is counting on David Beckham being able to prove his fitness for tomorrows vital World Cup qualifier in Poland despite a rib injury.
25,2,Seedorf: We Are Ready,"The Milan midfielder believes that the Rossoneri are ready to take on Juventus on Saturday night. Clarence Seedorf will be facing his former coach at Real Madrid, Fabio Capello, this weekend, but hed rather "
26,2,"Sharapova, Venus Struggle to Win at Open (AP)","AP - Maria Sharapova zinged shots so sharply against Jelena Jankovic, many fans at Louis Armstrong Stadium left their seats early in hopes of finding a more competitive match. They missed seeing things get kind of interesting at the U.S. Open."
27,1,Three in London court appearance on terrorism charges (AFP),AFP - Three men charged under Britain's anti-terrorism laws on suspicion of seeking to obtain radioactive material to make a nuclear device made a brief first appearance Saturday before a London court.
28,1,Suicide attack kills 13 near Baghdad Green Zone,"Smoke rises from a spot where a car bomb exploded in Baghdad, Iraq, December 13. A suicide bomber killed 13 people in an attack Monday near to the heavily fortified Green Zone in central Baghdad."
29,1,US Envoy Denies Using Influence in Afghan Elections,"The United States ambassador to Afghanistan denies allegations he is meddling in the country #39;s first direct presidential election, to be held on October 9. US ambassador to Kabul, Zalmay Khalilzad, says that "
30,2,Todd MacCulloch Retires,Philadelphia 76ers President and General Manager Billy King announced today that center Todd MacCulloch will retire from the game of basketball.
31,4,Microsoft details conflicts in new XP update,"Microsoft has published a list of nearly 50 applications -- including developer and backup tools, antivirus software and an FTP client -- that may not work correctly after installing Service Pack 2 for Windows XP."
32,4,Keyboards are &lt;u&gt;old&lt;/u&gt; - tap tables to send email,Sensor system allows input from virtually anything
33,2,"Tigers lose game, two All-Stars","The Tigers fell again to a manufactured Minnesota run Saturday night, but what they needed more was manufactured health. While the Tigers lost a 3-2 decision to the Twins "
34,4,Astronomers Spot Smallest Planets Yet (AP),"AP - American astronomers say they have discovered the two smallest planets yet orbiting nearby stars, trumping a small planet discovery by European scientists five days ago and capping the latest round in a frenzied hunt for other worlds like Earth."
35,3,Super search Accoona.com launched in US and China,"The New Jersey-based Accoona Corporation, an industry pioneer in artificial intelligence search technology, announced on Monday the launch of Accoona."
36,3,Google Stock Falls as Share Lockups Expire,"Shares of Google Inc. (GOOG.O: Quote, Profile, Research) fell as much as 6.5 percent on Tuesday, as selling restrictions were lifted on 39 million shares held by employees and early "
37,2,T.O. Effect Gives Boost to Eagles' Offense (AP),"AP - Terrell Owens' impact is easy to see in the statistics, where the big-gain catches and flashy touchdowns have often led to regular-season wins."
38,1,Powell says Iran pursuing nuclear bomb,"The United States has intelligence that Iran is working to adapt missiles to deliver a nuclear weapon, further evidence that the Islamic republic "
39,1,Bomb Blasts Rock Kathmandu,"Nepal #39;s Maoist rebels opened fire and set off bombs at a government office in Kathmandu Friday, the third day of a blockade of the capital by Maoist rebels. "
40,3,Gloom continues at M amp;S,"ALES are still falling at Marks  amp; Spencer, the company revealed today, sparking fresh fears for the retailers recovery. The group confirmed that half-year profits will be between 285m-295m, in line with "
41,3,"Amex to Record Charge, Cut Jobs","American Express (AXP.N: Quote, Profile, Research) on Friday said it expects to record a fourth-quarter pretax charge of up to \$120 million and cut 2,000 jobs related primarily to a restructuring of its business travel unit and the "
42,4,New Breed of Cat: Clones to Make Debut at Annual Show,"The annual cat show at Madison Square Garden, which begins on Friday, will include cloned kittens for the first time."
43,3,SEC chief urges Congress to defer to board on options,"The US Congress should stay out of the debate over expensing stock options and let the Financial Accounting Standards Board handle it, US Securities and Exchange Commission chairman William Donaldson said."
44,4,Nintendo and Sony Square Off in Handheld Game Market,Sony and Nintendo made separate product announcements ahead of the highly competitive holiday shopping season.
45,3,"Nikkei Up 1.5 Pct, Year-End Rally Eyed"," TOKYO (Reuters) - Tokyo stocks posted strong rises by  Friday afternoon as hopes for a seasonal year-end rally and the  imminent inclusion of oil and gas developer INPEX Corp. into  the TOPIX index, spurred buying in a wide range of stocks."
46,2,San Diego Chargers,DENVER (Ticker) -- Jake Plummer more than made up for a lack of a running game. Plummer passed for 294 yards and two touchdowns as the Denver Broncos posted a 23-13 victory over the San Diego Chargers in a battle of AFC West Division rivals.
47,1,IRA must take immediate steps to disarm: N. Ireland Protestant leader (AFP),"AFP - Warning that he would not be ""bluffed,"" Protestant leader Ian Paisley said the latest attempt to achieve piece in Northern Ireland was doomed unless the Catholic paramilitary IRA took immediate and verifiable steps to disarm."
48,1,Chechen lists details of attack on school,"MOSCOW Shamil Basayev, the elusive Chechen guerrilla commander who has become Russia #39;s most wanted man, has claimed responsibility for planning terror attacks that have killed more than 440 people here in recent weeks and is threatening to strike anew, a "
49,3,"After Storm, a New Look at Stiffer Building Codes","When structural engineers from Miami pushed the rest of Florida to adopt much stricter building codes after Hurricane Andrew, the response was generally blas."
50,2,Houston now in control,"HOUSTON - From the start, Game 5 of the National League Championship Series was unlike any of the previous four. But in the end, it was decided by another home run, this one from Houston #39;s Jeff Kent with "
51,3,"US Maintains Dollar Policy, Official Says (Reuters)","Reuters - America has not changed its strong\dollar policy and still expects China to make its own currency\more flexible, a Treasury official said on Monday, shrugging\off comments from Beijing that had jolted markets."
52,3,Cox Forms Committee to Consider Buyout," NEW YORK (Reuters) - Cox Communications Inc., the No. 4  U.S. cable television provider, said late on Tuesday  it formed  a committee of independent directors to consider a \$7.9 billion  offer from its controlling family to take the company private."
53,4,Music Download Vending Machines Set for Britain, LONDON (Reuters) - The first vending machines to sell music  downloads are to be introduced in London next month as Britons  continue to turn their backs on traditional methods of buying  singles.
54,3,IBM Selling PC Unit to China's Lenovo," BEIJING/SAN FRANCISCO (Reuters) - IBM is selling its  PC-making business to China's largest personal computer maker,  Lenovo Group Ltd., for \$1.25 billion, marking the U.S. giant's  retreat from an industry it helped pioneer in 1981."
55,2,Webb two off Sorenstam #39;s pace,Karrie Webb shot an opening round of four-under par 68 to be two shots behind Annika Sorenstam at the LPGA Tour Championship at Trump International golf course.
56,2,Clemson Wins in 2OT,Charlie Whitehurst threw an 11-yard touchdown pass to Kyle Browning in the second overtime that lifted No. 15 Clemson to a 37-30 victory over Wake Forest on Saturday.
57,1,Key Witness in India Riot Case Retracts Testimony,A landmark trial arising from attacks on Muslims that swept the state of Gujarat in 2002 was thrown into turmoil Wednesday when the government #39;s star witness accused 
58,1,Yudhoyono declared president,JAKARTA - Indonesia #39;s National Elections Commission officially declared Susilo Bambang Yudhoyono president Monday after vote-counting in the country #39;s Sept 20 presidential election runoff was finalized.
59,2,United ends Arsenal #39;s streak,Manchester United emerged triumphantly from an uncompromising Battle of the Titans to end Arsenal #39;s 49-match unbeaten English Premier League run with a 2-0 victory at Old Trafford on Sunday.
60,2,Williams  #39;Hungary #39; for success,British heavyweight hope Danny Williams believes the key to beating WBC champion Vitali Klitschko and becoming the heavyweight champion of the world in Las Vegas on December 11 is his hunger and desire to succeed.
61,4,MSN Music expands reach to give iTunes a serious challenge,Eight more European countries got access to Microsofts MSN Music Store today. This comes in wake of Apples similar move to provide iTunes access to more European countries.
62,2,Nets need to score,"EAST RUTHERFORD, NJ Lawrence Frank preaches the value of defense so much that he #39;d probably be more comfortable giving a blocking forearm to the back than a handshake as a form of introduction."
63,2,"Jim Mora Jr., Tom O #39;Brien are top Washington candidates",It looks like the Washington Huskies search for a new head football coach has picked up in the last several days. Reports from around the country have stated that Washington has met with or contacted former 
64,3,Manmohan praises contribution of Indian diaspora,"Prime Minister Manmohan Singh lavished generous praiseon the Indian diaspora, particularly in the US and Britain, calling them a  quot;bridge quot; between their adopted land and India and said the country took  quot;pride in their achievements quot;."
65,2,Red Sox Replacing Team Physician Morgan (AP),"AP - The Boston Red Sox are replacing team physician Bill Morgan, who helped stitch together a World Series title by suturing Curt Schilling's ankle and allowing him to stay in the postseason rotation."
66,2,Sulamani cruises by 11/2 in Canadian International,"The other jockeys tried to keep Sulamani, the 4-5 favorite, boxed in, but it hardly mattered as he captured the \$1.5 million, Grade I Pattison Canadian International by 11/2 lengths under a hand ride yesterday at Woodbine Racetrack in Toronto."
67,2,Denehy boosts Walpole ,Danvers coach thought he had the perfect game plan against Walpole last night in the Division 2 playoffs at Endicott College. It was the same game plan that earned his team its first playoff berth in 63 years.
68,3,Fox joins Blu-ray group,"com October 4, 2004, 11:57 AM PT. Twentieth Century Fox has joined a group developing one of two formats being promoted as a next-generation DVD technology."
69,2,Davenport wins in Germany,"Lindsay Davenport, 28, won her tour high seventh title of the year Sunday at the Porsche Grand Prix in Filderstadt, Germany. Davenport won when top ranked Amelie Mauresmo was forced to retire from the final because of an injured left thigh."
70,3,"OPEC votes to lift output, aims to ease fears",OPEC ministers yesterday agreed to increase their ceiling for oil production to help bring down stubbornly high prices in a decision that traders and analysts dismissed as symbolic because the cartel already is pumping more than its new target.
71,1,The Black Widows' Revenge,"After the terror bombing of two airliners in Russia, the Kremlin tries to face up to a new Chechen tactic"
72,2,"James Becomes Youngest to Score 2,000","LeBron James scored 26 points to become the youngest player in NBA history to reach 2,000 in a career, leading the Cleveland Cavaliers to a 96-74 victory over the Chicago Bulls on Saturday night."
73,1,Nepal talks hopes,KATHMANDU: Nepal #39;s ruling coalition expressed hope yesterday for peace talks to end eight years of war as the capital returned to normal after Maoist rebels who control much of the countryside lifted a blockade.
74,4,ISPs file more antispam lawsuits,"Microsoft, AOL, EarthLink and Yahoo filed three new lawsuits to stop the spread of unsolicited e-mail."
75,2,Diouf set for ban following spit fury,ON-LOAN Liverpool striker El Hadji Diouf is facing a three-match ban after his latest spitting controversy drew widespread disgust from the football world.
76,2,Big Red ready to see Crimson,"Last year's game against Cornell, was both a win and a loss for the Harvard football team. The Crimson defeated Cornell, 27-0, but lost quarterback Ryan Fitzpatrick in the fourth quarter because of a fracture in his right hand that bumped him out of the lineup for two games."
77,3,US election reprieve for oil,"NEW YORK: Oil dropped below \$50 a barrel last night to the lowest price in more than a month, extending a \$6 slide from recent peaks as the US presidential election got underway."
78,2,Radcliffe run defended,"GB athletics chief Max Jones defends Paula Radcliffe after she pulls out of the 10,000m final."
79,2,"NHL owners, union to meet next week",Jocelyn Thibault and the handful of his Blackhawks teammates still in town waiting out the lockout have stepped up their workouts recently just in case there #39;s a season.
80,3,"Borders Profits Rise, Raises Outlook"," NEW YORK (Reuters) - Borders Group Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BGP.N target=/stocks/quickinfo/fullquote""&gt;BGP.N&lt;/A&gt;, the No. 2  U.S. bookseller, on Tuesday said quarterly earnings rose,  beating estimates by the company and Wall Street, largely  because of stronger-than-expected book sales."
81,1,Bomb Alert Prompts Greek Plane to Land in London (Reuters),"Reuters - A bomb alert prompted a Greek Olympic\passenger airliner to make an emergency landing at London's\Stansted Airport on Sunday, an airport spokesman said."
82,3,US wholesale prices climb in November,"US producer prices - a measure of wholesale inflation - rose by a faster than expected 0.5 in November, seasonally adjusted Labor Department figures showed this afternoon."
83,2,"McNair out of hospital, questionable for Sunday",Tennessee quarterback Steve McNair was released from the hospital Tuesday morning after a two-night stay with a bruised sternum. McNair was injured late in the Titans #39; 15-12 loss to Jacksonville on Sunday.
84,3,Google Roadshows Left Small Investors Out," NEW YORK (Reuters) - The initial public offering of  Internet search engine Google Inc. was billed as a bonanza for  millions of U.S. investors -- but the little guy, with check in  hand, was left out of the party."
85,1,Saskatchewan court rules definition of marriage unconstitutional (Canadian Press),Canadian Press - SASKATOON (CP) - Gay couples may now tie the knot in more than half of the provinces and territories in Canada after a Saskatchewan court ruled Friday that the traditional definition of marriage is unconstitutional.
86,2,Peach Bowl Picks No. 20 Florida Gators (AP),AP - The Peach Bowl wants Florida to play in the Dec. 31 game  #151; and hopes Ron Zook will hang around to coach the Gators for a few more weeks.
87,4,Space Shuttles Survive Hurricane Frances,"maggeth writes  quot;In an update to a previous story, NASA damage assessment teams have begun work at the Kennedy Space Center, which was hit by Hurricane Frances."
88,1,Blair holds key as EU opens door to Turkey,Tony Blair is on course to take charge of historic negotiations designed to pave the way for Turkish membership of the EU after European leaders last night gave the green light to accession talks.
89,2,Timeline of Case Against Kobe Bryant (AP),AP - Timeline of the sexual assault case against Los Angeles Lakers star Kobe Bryant:
90,1,Death toll rises in Afghan terror attack,The death toll from yesterday #39;s car-bomb attack in Afghanistan has climbed to eleven -- including three Americans. Taliban rebels are claiming responsibility for the blast outside 
91,1,Italian hostages released,There was widespread rejoicing on Tuesday night in Italy at the release of two Italian female aid workers who had been held hostage in Iraq.
92,1,28 killed in fighting in N. Iraqi town,The death toll rose to 28 and more than 70 were wounded in heavy clashes between the US-Iraqi forces and insurgents in Iraq #39;s northern town of Tall Afar.
93,4,"Nortel Networks to Eliminate 3,500 Jobs","Nortel Networks said on Thursday it will slash its work force by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits."
94,2,Varitek: Captain courageous,"SEATTLE -- So, Jason Varitek, we all know you are the de facto captain of the Boston Red Sox. You are the quiet leader of this team, the man who turned a season around by shoving your mitt into the face of Alex Rodriguez, and a man who's got a 15-game hitting streak in the wake of last night's 13-2 ..."
95,2,Bengals Take Early Lead Over Broncos (AP),"AP - Carson Palmer hit a wide-open Chad Johnson on a 50-yard scoring play to give Cincinnati a 7-0 lead over the Denver Broncos after the first quarter of the Bengals' return to ""Monday Night Football."""
96,4,Google looks at the books,"GOOGLE INGENUES Sergey Brin and Larry Page, have been visiting the Frankfurt Book Fair this week peddling a new service to publishers for the search engine outfit."
97,2,Cardinals are left hanging,HOUSTON - Starting pitcher Dan Haren pitched well for five innings but not quite well enough against an inspired opponent. Left fielder Reggie Sanders almost gave the Cardinals their second lead of the night but didn #39;t quite make it.
98,4,Toshiba to Launch HD DVD Notebook PCs in Q4 2005 (Reuters),Reuters - Japan's Toshiba Corp. said on Wednesday\it would introduce notebook computers with HD DVD technology in\the last quarter of 2005 in a move to pressure rivals in the\battle over formats for next-generation DVDs.
99,2,Carter to miss two preseason games to fight lawsuit,Vince Carter will miss the Toronto Raptors #39; next two preseason games while he fights a lawsuit from a former agent. Carter wasn #39;t available for Tuesday night #39;s game at Denver and Wednesday #39;s game at Portland 
100,4,Analysts concerned about longer-than-expected G5 delays,"AUGUST 17, 2004 (MACCENTRAL) - Analysts from Prudential Equity Group and UBS have warned over the past two days that longer than expected G5 delays from IBM Corp. is the near-term  quot;key risk quot; for Apple Computer Inc. "
101,1,N. Korea Won't Give Up Nuke Development (AP),"AP - North Korea said Monday that it will not give up nuclear development in light of unauthorized nuclear experiments by South Korea, where U.N. inspectors nuclear inspectors were conducting an investigation."
102,3,Rupe tries roadblock,Rupert Murdoch wants to put up another gate to keep media mogul John Malone from buying a bigger stake in his kingdom. One week after adopting a poison pill to protect his News Corp.
103,4,"Honors for Nude Lit, Fish Farts","Recipients of this year's Ig Nobel Prizes, which honor the best in oddball research, run the gamut from a nudist library to a psychology experiment featuring a man in a gorilla suit to a recent finding that herrings communicate by farting. By Mark Baard."
104,2,Pressure Grows for CONCACAF World Cup Hopefuls, RIO DE JANEIRO (Reuters) - Guatemala coach Ramon Maradiaga  believes his players were too individualistic in Saturday's 5-0  drubbing by Costa Rica and urged them not to repeat their  mistakes in Wednesday's qualifier against Honduras.
105,3,"Google Profit Up, Stock Rises, No Outlook"," SAN FRANCISCO (Reuters) - Web search leader Google Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GOOG.O target=/stocks/quickinfo/fullquote""&gt;GOOG.O&lt;/A&gt;, in its first earnings report as a publicly held  company, on Thursday posted quarterly net income and revenue  that more than doubled on strong Web search advertising."
106,2,Ghostzapper to return in 2005; Azeri might retire after two more &lt;b&gt;...&lt;/b&gt;,There is no question in trainer Bobby Frankels mind who will claim Horse of the Year honors when the Eclipse Awards are handed out in January.
107,1,Sharon seeks coalition go-ahead,Israeli PM Ariel Sharon's Likud party is to  vote on whether to invite the opposition Labour Party into the coalition.
108,1,U.S.-Led Afghan Coalition Critcized (AP),AP - A U.N. human rights expert criticized the U.S.-led coalition forces in Afghanistan for violating international law by allegedly beating Afghans to death and forcing some to remove their clothes or wear hoods.
109,3,Russia May Repay Up to \$10Bln in Foreign Debt in 2005  Finance &lt;b&gt;...&lt;/b&gt;,"Russia may allocate up to \$10 billion from its stabilization fund to repay foreign debt, Finance Minister Aleksei Kudrin told reporters at a press conference held in the Russian news agency RIA-Novosti on Monday."
110,1,9/11 Commission Formally Disbands,"WASHINGTON - The Sept. 11 commission closes down Saturday, but its members plan to continue testifying before Congress and traveling the country to try to get the government to improve homeland security..."
111,4,NASA #39;s Satellite Photo of Hurricane Ivan,"Summary - (Sep 11, 2004) NASA #39;s Terra satellite took this photograph of Hurricane Ivan as it roared past the island of Jamaica on Saturday."
112,4,Groups: Ill. Butterfly Population Falling (AP),"AP - The number of butterflies fluttering around the Chicago area has dropped dramatically this summer, experts and enthusiasts say."
113,3,CIBC Q4 profit falls to \$439M from \$510M after \$300M Enron charge,TORONTO (CP) - CIBC reported Thursday its quarterly profit fell by 14 per cent due to a \$300-million charge related to litigation over loans to American energy trading firm Enron.
114,4,Janet Jackson still holds TiVo title,"Sure, the device can record movies and anything else broadcast on TV. But apparently sex is what pushes the rewind button the most."
115,1,Winners of Polar Music Prize Announced,Brazilian singer Gilberto Gil and German romance singer Dietrich Fischer-Dieskau were named the 2005 winners of the Polar Music Prize for their contributions to music.
116,1,Guantanamo hearing postponed,A hearing at Guantanamo Bay for a man accused of being an al-Qaeda paymaster is postponed.
117,4,Meteor shower peaks tonight,The Geminid meteor shower is one of the annual meteor showers that pull professional and amateur astronomers alike out into the cold night air.
118,3,"Germany, France Eye Balance in Possible EADS-Thales Combination","Germany and France have agreed that a future combination of European Aeronautic, Defense and Space Co. and Thales SA must benefit both countries #39; interests, Economics and Labor Minister Wolfgang Clement said."
119,4,Borland moving forward with SDO,"15 Sep 2004, 16:01 GMT - Borland Software took a new direction this week, with the announcement of Software Delivery Optimization (SDO)."
120,4,US government agencies aim for software assurance,"WASHINGTON - U.S. government agencies need to better understand the vulnerabilties of the software they're buying, said IT workers from several government agencies during a software assurance forum in Washington, D.C., this week."
121,2,U.S. Furious as Hamm Asked to Give Back Gold Medal," ATHENS (Reuters) - U.S. Olympic chiefs accused world  gymnastics officials of putting ""outrageous and improper  pressure"" on gold medallist Paul Hamm to give his medal to a  South Korean rival."
122,4,Broadband reach to get broader,"Broadband will be as widely available as analogue TV by the middle of next year, according to BT. BT has struggled to extend the reach of broadband to certain areas of the country because until now 512Kbps ADSL connections would not work ..."
123,3,Greece admits fiddling euro entry,Greece has admitted it joined the euro in 2001 on the basis of figures that showed its budget deficit to be much lower than it really was.
124,1,Pakistan Parliament Elects Prime Minister,"Pakistan #39;s parliament elected former finance minister Shaukat Aziz, a close ally of President Gen. Pervez Musharraf, as prime minister on Friday after the opposition "
125,2,BASEBALL ROUNDUP Rangers Pull Within Two Of the A #39;s,"Hank Blalock #39;s solo homer and David Dellucci #39;s two-run double rallied Texas in the ninth inning yesterday, and the Rangers beat visiting Oakland, 5-4, to complete a three-game sweep "
126,2,"MLB: Minnesota 8, Texas 5",A three-run homer in the 11th inning by Torii Hunter led the home-field Minnesota Twins to an 8-5 victory over the Texas Rangers. Hunter finished with three hits and six RBI 
127,2,"Back to Wall, Giants #39; Defense Turns Fearsome",When the Giants #39; defensive players walked off the field after the Washington Redskins embarrassed them with an easy touchdown drive in the first quarter Sunday 
128,3,"At Citigroup, a Shifting in Strategy at a Core Unit",The chief executive of Citigroup has taken a number of symbolic steps to address concerns by investors that his company is too immense to manage.
129,1,"Odd Question on West Bank: Who Is Arafat, Really?","Like so much else they consider beyond their control, Palestinians in Nablus are adjusting to the prospect of Yasir Arafat's death."
130,3,Rate Hike Seen as Federal Reserve Meets,"The Federal Open Market Committee, the rate-setting panel for the US Federal Reserve, began its deliberations Wednesday with a rate hike widely expected."
131,2,Injuries Deplete Rams Defensive Secondary (AP),"AP - The St. Louis Rams' defensive backfield was depleted by injuries in a loss to Buffalo on Sunday, with the most serious to backup cornerback DeJuan Groce, who hurt his left knee."
132,3,Google Profit Up in 1st Reported Quarter," SAN FRANCISCO (Reuters) - Web search leader Google Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GOOG.O target=/stocks/quickinfo/fullquote""&gt;GOOG.O&lt;/A&gt;, in its first earnings report as a publicly held  company, on Thursday posted a profit of \$52.0 million in the  third quarter on strong Web search advertising."
133,4,Rats May Help Unravel Human Drug Addiction Mysteries,"By LAURAN NEERGAARD    WASHINGTON (AP) -- Rats can become drug addicts. That's important to know, scientists say, and has taken a long time to prove..."
134,3,Oil back above \$55 as US winter stocks drop,LONDON: Oil prices charged back up to \$55 a barrel yesterday as a fresh fall in US heating oil stocks stoked worries over winter supplies.
135,3,"Campina, Arla agree to merge to form largest dairy cooperative","LONDON, December 8 (newratings.com) - European dairy firms, Arla Foods AmbA (ARU.ISE) and Campina BV, have agreed to merge and form the worlds largest farmer owned dairy cooperative."
136,4,AT amp;T will offer VoIP service in Hampton Roads,The firm #39;s new Internet calling plan is cheaper than traditional phone service and has more features. AT amp;T has followed its recent announcement that it #39;s not marketing new residential telephone service by 
137,2,Rain Hampers Play at NEC Invitational,"Only 24 players finished the second round at Firestone South, but the forecast was for dry, cool weather the final two days."
138,3,Stocks Open Near Unchanged After GDP Data," NEW YORK (Reuters) - U.S. stocks opened little changed on  Friday, after third-quarter gross domestic product data showed  the U.S. economy grew at a slower-than-expected pace."
139,2,"Favre, Packers pummel Rams",CBC SPORTS ONLINE - Quarterback Brett Favre celebrated his 200th straight start with three touchdown passes as the Green Bay Packers defeated the St.
140,3,British Telecom to Buy Infonet,British Telecom is buying U.S.-based Infonet Services in a deal that values the company at almost \$1 Billion.
141,4,"Turkcell signs deal for Iran mobile network, still to pay licence fee (AFP)","AFP - Turkcell, Turkey's biggest mobile phone operator, said that it had signed a licence agreement with Iran to set up the first Iranian private mobile phone network conditional on paying a 300-million-euro (366-million-dollar) licence fee."
142,2,Morning After,"The Morning After -- Every week, uncut, honest thoughts first thing Monday morning, win or lose, before there #39;s time for  quot;the coach quot; inside to begin thinking rationally."
143,4,Apple introduces the U2 iPod,"Apple today introduced the iPod U2 Special Edition as part of a partnership between Apple, U2 and Universal Music Group (UMG) to create innovative new products together for the new digital music era."
144,4,"Nokia, Vodafone Collaborate on Mobile Java","Nokia and Vodafone announced they will team up for a mobile service architecture initiative, with the aim of simplifying mobile Java standards."
145,3,Qwest Is Said to Pay \$250 Million in S.E.C. Settlement,"Qwest has agreed to pay \$250 million to settle financial and disclosure fraud charges, a source familiar with the matter said today."
146,3,Market is in charge as OPEC #39;s clout fades,"PARIS Early last summer, OPEC looked as though it had successfully absorbed tremendous shocks to the oil market - a strike in Venezuela, ethnic clashes in Nigeria, attacks on foreign workers in Saudi Arabia, a war in Iraq."
147,4,"Internet Turns 35, Still Work in Progress (AP)","AP - Thirty-five years after computer scientists at UCLA linked two bulky computers using a 15-foot gray cable, testing a new way for exchanging data over networks, what would ultimately become the Internet remains a work in progress."
148,1,"One Month Later, Fight Over Ohio Continues (AP)","AP - Nearly a month after John Kerry conceded Ohio to President Bush, complaints and challenges about the balloting are mounting as activists including the Rev. Jesse Jackson demand closer scrutiny to ensure the votes are being counted on the up-and-up."
149,1,Atmosphere conducive for talks with Pak: Natwar,The atmosphere is conducive for talks between India and Pakistan and New Delhi is giving it the  quot;best shot quot; but a  quot;miracle quot; should not be expected during the coming visit of Pakistan 
